id,district,year_built,year_range
way/4532022,Altstadt,1931,1850-1950
way/4532064,Altstadt,1864,1850-1950
way/4532629,Altstadt,1853,1850-1950
way/4532631,Altstadt,1944,1850-1950
way/4532739,Altstadt,1885,1850-1950
way/7035069,Altstadt,1881,1850-1950
way/10154135,Altstadt,1878,1850-1950
way/16083130,Altstadt,1867,1850-1950
way/16186002,Altstadt,1944,1850-1950
way/16367389,Altstadt,1863,1850-1950
way/20353552,Altstadt,1936,1850-1950
way/21113432,Altstadt,1944,1850-1950
way/21113435,Altstadt,1919,1850-1950
way/23015561,Altstadt,1861,1850-1950
way/23105841,Altstadt,1925,1850-1950
way/23105843,Altstadt,1904,1850-1950
way/23105846,Altstadt,1854,1850-1950
way/23105848,Altstadt,1853,1850-1950
way/23113718,Altstadt,1861,1850-1950
way/23113727,Altstadt,1877,1850-1950
way/23113728,Altstadt,1879,1850-1950
way/23113731,Altstadt,1914,1850-1950
way/23113732,Altstadt,1927,1850-1950
way/23113733,Altstadt,1853,1850-1950
way/23482434,Altstadt,1921,1850-1950
way/23566808,Altstadt,1875,1850-1950
way/23566809,Altstadt,1941,1850-1950
way/23567654,Altstadt,1933,1850-1950
way/23567680,Altstadt,1939,1850-1950
way/23567942,Altstadt,1919,1850-1950
way/23568054,Altstadt,1903,1850-1950
way/23571714,Altstadt,1878,1850-1950
way/23571761,Altstadt,1907,1850-1950
way/23571959,Altstadt,1925,1850-1950
way/23573781,Altstadt,1885,1850-1950
way/23574173,Altstadt,1850,1850-1950
way/23574880,Altstadt,1947,1850-1950
way/23575080,Altstadt,1870,1850-1950
way/23691765,Altstadt,1939,1850-1950
way/23691996,Altstadt,1904,1850-1950
way/23705181,Altstadt,1893,1850-1950
way/23705183,Altstadt,1885,1850-1950
way/23705184,Altstadt,1869,1850-1950
way/23795575,Altstadt,1877,1850-1950
way/23799547,Altstadt,1947,1850-1950
way/24234937,Altstadt,1893,1850-1950
way/24284639,Altstadt,1863,1850-1950
way/24284645,Altstadt,1861,1850-1950
way/24284653,Altstadt,1898,1850-1950
way/24463323,Altstadt,1862,1850-1950
way/24463332,Altstadt,1895,1850-1950
way/25048555,Altstadt,1894,1850-1950
way/25072211,Altstadt,1927,1850-1950
way/25219546,Altstadt,1883,1850-1950
way/25251424,Altstadt,1855,1850-1950
way/25251590,Altstadt,1943,1850-1950
way/25251834,Altstadt,1908,1850-1950
way/25257556,Altstadt,1918,1850-1950
way/25257557,Altstadt,1865,1850-1950
way/25257618,Altstadt,1898,1850-1950
way/25270980,Altstadt,1860,1850-1950
way/25284355,Altstadt,1920,1850-1950
way/25284393,Altstadt,1887,1850-1950
way/25284438,Altstadt,1930,1850-1950
way/25285806,Altstadt,1929,1850-1950
way/25477586,Altstadt,1896,1850-1950
way/26026814,Altstadt,1923,1850-1950
way/26026822,Altstadt,1874,1850-1950
way/26026836,Altstadt,1940,1850-1950
way/26159335,Altstadt,1858,1850-1950
way/26773518,Altstadt,1855,1850-1950
way/26987549,Altstadt,1934,1850-1950
way/26987550,Altstadt,1879,1850-1950
way/26987557,Altstadt,1948,1850-1950
way/26987558,Altstadt,1887,1850-1950
way/26987559,Altstadt,1860,1850-1950
way/26987614,Altstadt,1879,1850-1950
way/26987616,Altstadt,1862,1850-1950
way/26987617,Altstadt,1898,1850-1950
way/26987640,Altstadt,1885,1850-1950
way/26987641,Altstadt,1908,1850-1950
way/26987801,Altstadt,1931,1850-1950
way/26987802,Altstadt,1896,1850-1950
way/26987803,Altstadt,1870,1850-1950
way/26987804,Altstadt,1897,1850-1950
way/26987805,Altstadt,1895,1850-1950
way/26987807,Altstadt,1876,1850-1950
way/27007834,Altstadt,1935,1850-1950
way/27274393,Altstadt,1884,1850-1950
way/27274396,Altstadt,1939,1850-1950
way/27274408,Altstadt,1937,1850-1950
way/27274443,Altstadt,1932,1850-1950
way/27274518,Altstadt,1859,1850-1950
way/27274660,Altstadt,1927,1850-1950
way/27274745,Altstadt,1931,1850-1950
way/27274753,Altstadt,1871,1850-1950
way/27274756,Altstadt,1918,1850-1950
way/27274759,Altstadt,1943,1850-1950
way/27274761,Altstadt,1881,1850-1950
way/27274764,Altstadt,1870,1850-1950
way/27274766,Altstadt,1909,1850-1950
way/27275283,Altstadt,1898,1850-1950
way/27567143,Altstadt,1884,1850-1950
way/27610708,Altstadt,1931,1850-1950
way/27614514,Altstadt,1938,1850-1950
way/27615439,Altstadt,1921,1850-1950
way/27615440,Altstadt,1878,1850-1950
way/27637903,Altstadt,1937,1850-1950
way/27637904,Altstadt,1891,1850-1950
way/27637905,Altstadt,1948,1850-1950
way/27637907,Altstadt,1949,1850-1950
way/27780576,Altstadt,1857,1850-1950
way/27780621,Altstadt,1879,1850-1950
way/27780622,Altstadt,1854,1850-1950
way/27878171,Altstadt,1890,1850-1950
way/27878172,Altstadt,1901,1850-1950
way/27878173,Altstadt,1884,1850-1950
way/27878390,Altstadt,1858,1850-1950
way/27878391,Altstadt,1877,1850-1950
way/27878392,Altstadt,1922,1850-1950
way/27879920,Altstadt,1941,1850-1950
way/27881347,Altstadt,1890,1850-1950
way/27881348,Altstadt,1877,1850-1950
way/27881349,Altstadt,1933,1850-1950
way/27881350,Altstadt,1913,1850-1950
way/27881352,Altstadt,1900,1850-1950
way/27881355,Altstadt,1932,1850-1950
way/27881361,Altstadt,1908,1850-1950
way/29139315,Altstadt,1868,1850-1950
way/29139357,Altstadt,1883,1850-1950
way/29139358,Altstadt,1867,1850-1950
way/29139915,Altstadt,1881,1850-1950
way/29139920,Altstadt,1945,1850-1950
way/29141510,Altstadt,1921,1850-1950
way/29141515,Altstadt,1918,1850-1950
way/29141517,Altstadt,1883,1850-1950
way/29142267,Altstadt,1945,1850-1950
way/29142268,Altstadt,1924,1850-1950
way/29142269,Altstadt,1904,1850-1950
way/29142271,Altstadt,1924,1850-1950
way/29142272,Altstadt,1901,1850-1950
way/29142273,Altstadt,1896,1850-1950
way/29142274,Altstadt,1878,1850-1950
way/29205917,Altstadt,1867,1850-1950
way/29206631,Altstadt,1915,1850-1950
way/29207109,Altstadt,1913,1850-1950
way/29207390,Altstadt,1861,1850-1950
way/29207796,Altstadt,1946,1850-1950
way/29207812,Altstadt,1856,1850-1950
way/29207815,Altstadt,1864,1850-1950
way/29207816,Altstadt,1869,1850-1950
way/29214254,Altstadt,1930,1850-1950
way/29214353,Altstadt,1870,1850-1950
way/29214354,Altstadt,1937,1850-1950
way/29214523,Altstadt,1904,1850-1950
way/29214631,Altstadt,1926,1850-1950
way/29214999,Altstadt,1858,1850-1950
way/29215129,Altstadt,1899,1850-1950
way/29263374,Altstadt,1898,1850-1950
way/30079275,Altstadt,1926,1850-1950
way/30079276,Altstadt,1909,1850-1950
way/30079415,Altstadt,1917,1850-1950
way/30079610,Altstadt,1882,1850-1950
way/30079612,Altstadt,1920,1850-1950
way/30079614,Altstadt,1851,1850-1950
way/30079684,Altstadt,1937,1850-1950
way/30079777,Altstadt,1942,1850-1950
way/30079778,Altstadt,1864,1850-1950
way/30079779,Altstadt,1937,1850-1950
way/30079875,Altstadt,1918,1850-1950
way/30079878,Altstadt,1946,1850-1950
way/30081016,Altstadt,1884,1850-1950
way/30081017,Altstadt,1948,1850-1950
way/30081018,Altstadt,1932,1850-1950
way/30081802,Altstadt,1893,1850-1950
way/30082023,Altstadt,1864,1850-1950
way/30095868,Altstadt,1887,1850-1950
way/30482607,Altstadt,1905,1850-1950
way/30743409,Altstadt,1870,1850-1950
way/30743410,Altstadt,1908,1850-1950
way/30743411,Altstadt,1850,1850-1950
way/30743413,Altstadt,1942,1850-1950
way/30743415,Altstadt,1942,1850-1950
way/30776610,Altstadt,1883,1850-1950
way/30776823,Altstadt,1914,1850-1950
way/30776869,Altstadt,1947,1850-1950
way/30776870,Altstadt,1872,1850-1950
way/30776871,Altstadt,1914,1850-1950
way/30776872,Altstadt,1863,1850-1950
way/30776943,Altstadt,1930,1850-1950
way/30777166,Altstadt,1888,1850-1950
way/30777178,Altstadt,1931,1850-1950
way/30777181,Altstadt,1914,1850-1950
way/30777324,Altstadt,1927,1850-1950
way/30777648,Altstadt,1875,1850-1950
way/30777649,Altstadt,1869,1850-1950
way/31290620,Altstadt,1897,1850-1950
way/31290621,Altstadt,1947,1850-1950
way/31290622,Altstadt,1870,1850-1950
